X,Y
0.462,62.879
0.789,76.833
0.745,77.129
0.884,83.552
0.591,61.929
0.826,79.236
0.849,76.064
0.786,73.372
0.946,83.579
0.926,82.412
0.76,73.488
0.82,74.358
0.888,79.246
0.67,73.698
0.809,77.706
0.801,73.246
0.942,82.293
0.7,70.962
0.504,59.954
0.681,72.229
0.698,64.928
0.779,75.293
0.708,65.913
0.76,73.425
0.823,74.551
0.799,71.528
0.438,59.766
0.42,61.977
0.661,74.722
0.6,69.896
0.587,60.958
0.935,82.847
0.387,54.477
0.394,52.997
0.86,79.519
0.788,78.587
0.758,73.659
0.586,63.68
0.593,63.053
0.481,59.743
0.806,77.32
0.534,58.916
0.878,79.236
0.764,78.155
0.907,81.889
0.895,78.129
0.952,81.882
0.515,62.859
0.74,72.981
0.766,74.17
0.765,77.894
0.728,70.159
0.674,71.475
0.65,61.19
0.493,66.604
0.899,79.155
0.61,56.36
0.492,65.645
0.729,68.312
0.942,82.351
0.91,83.229
0.693,65.694
0.495,62.906
0.814,71.587
0.95,80.989
0.602,63.945
0.893,80.614
0.793,75.335
0.629,68.674
0.471,58.985
0.483,59.861
0.742,65.989
0.552,63.728
0.624,70.728
0.851,74.958
0.959,82.815
0.644,67.744
0.713,68.25
0.78,74.556
0.673,71.336
0.95,82.716
0.915,82.601
0.906,84.057
0.706,70.629
0.92,84.82
0.736,74.215
0.802,69.489
0.601,62.055
0.628,67.661
0.929,84.024
0.847,80.264
0.701,70.484
0.62,68.999
0.879,75.927
0.723,74.416
0.521,53.036
0.487,61.1
0.746,72.151
0.942,84.656
0.879,74.293
0.927,82.591
0.487,65.23
0.508,62.898
0.807,76.26
0.762,80.839
0.41,59.417
0.915,83.704
0.731,65.146
0.54,64.691
0.796,73.975
0.781,74.832
0.634,70.925
0.763,68.621
0.741,72.667
0.844,76.845
0.698,74.973
0.461,59.625
0.608,67.256
0.61,58.059
0.696,64.014
0.601,70.484
0.946,82.451
0.939,83.006
0.669,74.615
0.394,62.08
0.548,53.633
0.765,73.888
0.966,83.393
0.819,73.935
0.54,66.431
0.797,65.362
0.82,76.826
0.568,65.958
0.731,70.475
0.762,73.385
0.71,72.187
0.881,76.996
0.874,82.24
0.875,81.559
0.827,74.117
0.821,70.116
0.548,67.129
0.838,72.027
0.725,71.294
0.772,68.972
0.702,72.598
0.867,83.433
0.613,68.794
0.875,77.905
0.517,67.913
0.805,74.137
0.802,71.738
0.458,60.411
0.949,84.133
0.855,75.33
0.926,82.133
0.562,70.742
0.38,56.107
0.717,61.48
0.381,55.567
0.911,83.912
0.78,76.61
0.516,65.578
0.69,70.289
0.952,83.505
0.967,84.255
0.557,72.3
0.679,71.288
0.532,66.782
0.803,79.68
0.566,69.056
0.547,61.588
0.739,71.27
0.814,74.708
0.732,74.263
0.855,78.475
0.744,69.41
0.653,64.854
0.55,63.638
0.734,68.564
0.937,79.196
0.94,82.156
0.927,78.203
0.83,78.0
0.727,71.674
0.614,70.492
0.699,71.105
0.726,74.58
0.424,63.72
0.569,61.803
0.55,59.391
0.902,79.30936718
0.764,75.20367977
0.64,67.95257009
0.517,61.6473648
0.704,71.30941731
0.766,76.21549145
0.802,73.56457485
0.763,73.71508542
0.641,68.44154341
0.549,60.63969999
0.739,72.00406985
